Date,Open,Close
2011-10-17,1224.469971,1200.859985
2011-10-18,1200.750000,1225.380005
2011-10-19,1223.459961,1209.880005
2011-10-20,1209.920044,1215.390015
2011-10-21,1215.390015,1238.250000
2011-10-24,1238.719971,1254.189941
2011-10-25,1254.189941,1229.050049
2011-10-26,1229.170044,1242.000000
2011-10-27,1243.969971,1284.589966
2011-10-28,1284.390015,1285.089966
2011-10-31,1284.959961,1253.300049
2011-11-01,1251.000000,1218.280029
2011-11-02,1219.619995,1237.900024
2011-11-03,1238.250000,1261.150024
2011-11-04,1260.819946,1253.229980
2011-11-07,1253.209961,1261.119995
2011-11-08,1261.119995,1275.920044
2011-11-09,1275.180054,1229.099976
2011-11-10,1229.589966,1239.699951
2011-11-11,1240.119995,1263.849976
2011-11-14,1263.849976,1251.780029
2011-11-15,1251.699951,1257.810059
2011-11-16,1257.810059,1236.910034
2011-11-17,1236.560059,1216.130005
2011-11-18,1216.189941,1215.650024
2011-11-21,1215.619995,1192.979980
2011-11-22,1192.979980,1188.040039
2011-11-23,1187.479980,1161.790039
2011-11-25,1161.410034,1158.670044
2011-11-28,1158.670044,1192.550049
2011-11-29,1192.560059,1195.189941
2011-11-30,1196.719971,1246.959961
2011-12-01,1246.910034,1244.579956
2011-12-02,1246.030029,1244.280029
2011-12-05,1244.329956,1257.079956
2011-12-06,1257.189941,1258.469971
2011-12-07,1258.140015,1261.010010
2011-12-08,1260.869995,1234.349976
2011-12-09,1234.479980,1255.189941
2011-12-12,1255.050049,1236.469971
2011-12-13,1236.829956,1225.729980
2011-12-14,1225.729980,1211.819946
2011-12-15,1212.119995,1215.750000
2011-12-16,1216.089966,1219.660034
2011-12-19,1219.739990,1205.349976
2011-12-20,1205.719971,1241.300049
2011-12-21,1241.250000,1243.719971
2011-12-22,1243.719971,1254.000000
2011-12-23,1254.000000,1265.329956
2011-12-27,1265.020020,1265.430054
2011-12-28,1265.380005,1249.640015
2011-12-29,1249.750000,1263.020020
2011-12-30,1262.819946,1257.599976
2012-01-03,1258.859985,1277.060059
2012-01-04,1277.030029,1277.300049
2012-01-05,1277.300049,1281.060059
2012-01-06,1280.930054,1277.810059
2012-01-09,1277.829956,1280.699951
2012-01-10,1280.770020,1292.079956
2012-01-11,1292.020020,1292.479980
2012-01-12,1292.479980,1295.500000
2012-01-13,1294.819946,1289.089966
2012-01-17,1290.219971,1293.670044
2012-01-18,1293.650024,1308.040039
2012-01-19,1308.069946,1314.500000
2012-01-20,1314.489990,1315.380005
2012-01-23,1315.290039,1316.000000
2012-01-24,1315.959961,1314.650024
2012-01-25,1314.400024,1326.060059
2012-01-26,1326.280029,1318.430054
2012-01-27,1318.250000,1316.329956
2012-01-30,1316.160034,1313.010010
2012-01-31,1313.530029,1312.410034
2012-02-01,1312.449951,1324.089966
2012-02-02,1324.239990,1325.540039
2012-02-03,1326.209961,1344.900024
2012-02-06,1344.319946,1344.329956
2012-02-07,1344.329956,1347.050049
2012-02-08,1347.040039,1349.959961
2012-02-09,1349.969971,1351.949951
2012-02-10,1351.209961,1342.640015
2012-02-13,1343.060059,1351.770020
2012-02-14,1351.300049,1350.500000
2012-02-15,1350.520020,1343.229980
2012-02-16,1342.609985,1358.040039
2012-02-17,1358.060059,1361.229980
2012-02-21,1361.219971,1362.209961
2012-02-22,1362.109985,1357.660034
2012-02-23,1357.530029,1363.459961
2012-02-24,1363.459961,1365.739990
2012-02-27,1365.199951,1367.589966
2012-02-28,1367.560059,1372.180054
2012-02-29,1372.199951,1365.680054
2012-03-01,1365.900024,1374.089966
2012-03-02,1374.089966,1369.630005
2012-03-05,1369.589966,1364.329956
2012-03-06,1363.630005,1343.359985
2012-03-07,1343.390015,1352.630005
2012-03-08,1352.650024,1365.910034
2012-03-09,1365.969971,1370.869995
2012-03-12,1370.780029,1371.089966
2012-03-13,1371.920044,1395.949951
2012-03-14,1395.949951,1394.280029
2012-03-15,1394.170044,1402.599976
2012-03-16,1402.550049,1404.170044
2012-03-19,1404.170044,1409.750000
2012-03-20,1409.589966,1405.520020
2012-03-21,1405.520020,1402.890015
2012-03-22,1402.890015,1392.780029
2012-03-23,1392.780029,1397.109985
2012-03-26,1397.109985,1416.510010
2012-03-27,1416.550049,1412.520020
2012-03-28,1412.520020,1405.540039
2012-03-29,1405.390015,1403.280029
2012-03-30,1403.310059,1408.469971
2012-04-02,1408.469971,1419.040039
2012-04-03,1418.979980,1413.380005
2012-04-04,1413.089966,1398.959961
2012-04-05,1398.790039,1398.079956
2012-04-09,1397.449951,1382.199951
2012-04-10,1382.180054,1358.589966
2012-04-11,1358.979980,1368.709961
2012-04-12,1368.770020,1387.569946
2012-04-13,1387.609985,1370.260010
2012-04-16,1370.270020,1369.569946
2012-04-17,1369.569946,1390.780029
2012-04-18,1390.780029,1385.140015
2012-04-19,1385.079956,1376.920044
2012-04-20,1376.959961,1378.530029
2012-04-23,1378.530029,1366.939941
2012-04-24,1366.969971,1371.969971
2012-04-25,1372.109985,1390.689941
2012-04-26,1390.640015,1399.979980
2012-04-27,1400.189941,1403.359985
2012-04-30,1403.260010,1397.910034
2012-05-01,1397.859985,1405.819946
2012-05-02,1405.500000,1402.310059
2012-05-03,1402.319946,1391.569946
2012-05-04,1391.510010,1369.099976
2012-05-07,1368.790039,1369.579956
2012-05-08,1369.160034,1363.719971
2012-05-09,1363.199951,1354.579956
2012-05-10,1354.579956,1357.989990
2012-05-11,1358.109985,1353.390015
2012-05-14,1351.930054,1338.349976
2012-05-15,1338.359985,1330.660034
2012-05-16,1330.780029,1324.800049
2012-05-17,1324.819946,1304.859985
2012-05-18,1305.050049,1295.219971
2012-05-21,1295.729980,1315.989990
2012-05-22,1316.089966,1316.630005
2012-05-23,1316.020020,1318.859985
2012-05-24,1318.719971,1320.680054
2012-05-25,1320.810059,1317.819946
2012-05-29,1318.900024,1332.420044
2012-05-30,1331.250000,1313.319946
2012-05-31,1313.089966,1310.329956
2012-06-01,1309.869995,1278.040039
2012-06-04,1278.290039,1278.180054
2012-06-05,1277.819946,1285.500000
2012-06-06,1285.609985,1315.130005
2012-06-07,1316.150024,1314.989990
2012-06-08,1314.989990,1325.660034
2012-06-11,1325.719971,1308.930054
2012-06-12,1309.400024,1324.180054
2012-06-13,1324.020020,1314.880005
2012-06-14,1314.880005,1329.099976
2012-06-15,1329.189941,1342.839966
2012-06-18,1342.420044,1344.780029
2012-06-19,1344.829956,1357.979980
2012-06-20,1358.040039,1355.689941
2012-06-21,1355.430054,1325.510010
2012-06-22,1325.920044,1335.020020
2012-06-25,1334.900024,1313.719971
2012-06-26,1314.089966,1319.989990
2012-06-27,1320.709961,1331.849976
2012-06-28,1331.520020,1329.040039
2012-06-29,1330.119995,1362.160034
